code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
CCC,2013J,100258,M,Scotland,Post Graduate Qualification,60-70%,0-35,1,30,N,Pass
CCC,2014J,100165,M,South East Region,A Level or Equivalent,80-90%,35-55,1,60,N,Fail
AAA,2014J,100487,M,Scotland,HE Qualification,0-10%,35-55,1,90,N,Withdrawn
CCC,2014J,100810,F,Scotland,A Level or Equivalent,60-70%,0-35,1,120,N,Pass
BBB,2014J,100730,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,30,Y,Pass
CCC,2013J,100825,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
CCC,2014J,100553,M,South East Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn
BBB,2013J,100011,M,South East Region,HE Qualification,70-80%,0-35,0,60,N,Fail
BBB,2014J,100747,F,South East Region,HE Qualification,70-80%,55<=,0,60,Y,Pass
BBB,2013J,100668,F,Scotland,Lower Than A Level,70-80%,0-35,0,120,N,Fail
CCC,2014J,100155,M,East Anglian Region,Lower Than A Level,60-70%,35-55,1,120,N,Withdrawn
BBB,2013J,100551,F,London Region,Post Graduate Qualification,20-30%,0-35,0,90,N,Fail
AAA,2014J,100210,F,Scotland,HE Qualification,30-40%,0-35,1,90,N,Pass
BBB,2013J,100581,F,South East Region,Post Graduate Qualification,80-90%,0-35,0,90,N,Pass
AAA,2014J,100297,F,North Western Region,HE Qualification,60-70%,35-55,0,60,N,Pass
BBB,2013J,100082,M,South East Region,HE Qualification,20-30%,55<=,0,120,N,Pass
AAA,2013J,100682,M,North Western Region,Post Graduate Qualification,90-100%,0-35,0,30,N,Withdrawn
AAA,2013J,100488,M,North Western Region,HE Qualification,,0-35,1,30,N,Fail
CCC,2013J,100170,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,1,90,N,Distinction
AAA,2014J,100879,F,East Anglian Region,HE Qualification,20-30%,0-35,2,120,N,Distinction
BBB,2013J,100105,F,East Anglian Region,Lower Than A Level,,35-55,0,120,Y,Pass
CCC,2013J,100355,F,London Region,A Level or Equivalent,20-30%,55<=,1,90,N,Withdrawn
CCC,2013J,100546,M,Scotland,HE Qualification,40-50%,35-55,1,60,N,Withdrawn
BBB,2013J,100242,F,South East Region,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn
AAA,2014J,100508,M,East Anglian Region,HE Qualification,50-60%,0-35,1,60,N,Pass
CCC,2014J,100402,F,South East Region,HE Qualification,20-30%,35-55,1,60,Y,Fail
CCC,2013J,100567,M,North Western Region,A Level or Equivalent,0-10%,0-35,2,60,N,Fail
BBB,2014J,100597,M,East Anglian Region,Lower Than A Level,30-40%,35-55,0,30,N,Pass
AAA,2014J,100451,M,East Anglian Region,HE Qualification,70-80%,0-35,0,60,N,Pass
AAA,2014J,100660,F,Scotland,Post Graduate Qualification,70-80%,0-35,1,120,N,Fail
AAA,2014J,100107,M,Scotland,HE Qualification,20-30%,35-55,1,90,N,Pass
AAA,2014J,100133,M,Scotland,A Level or Equivalent,10-20%,0-35,0,30,N,Pass
CCC,2013J,100109,M,London Region,HE Qualification,70-80%,55<=,0,60,N,Withdrawn
AAA,2014J,100104,F,East Anglian Region,A Level or Equivalent,10-20%,0-35,1,60,N,Distinction
AAA,2013J,100385,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,1,60,N,Distinction
CCC,2013J,100719,M,North Western Region,A Level or Equivalent,50-60%,0-35,0,90,N,Pass
CCC,2014J,100046,M,South East Region,Lower Than A Level,60-70%,0-35,1,120,Y,Fail
AAA,2013J,100258,M,Scotland,Post Graduate Qualification,20-30%,0-35,2,90,N,Distinction
BBB,2014J,100068,F,South East Region,HE Qualification,20-30%,0-35,1,60,N,Pass
BBB,2014J,100137,F,Scotland,Lower Than A Level,20-30%,35-55,2,30,N,Pass
BBB,2014J,100006,M,Scotland,Post Graduate Qualification,30-40%,35-55,0,30,N,Withdrawn
CCC,2013J,100158,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail
CCC,2013J,100771,M,London Region,HE Qualification,0-10%,0-35,1,90,Y,Pass
CCC,2013J,100776,F,London Region,Lower Than A Level,40-50%,0-35,0,90,N,Withdrawn
AAA,2014J,100017,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,90,N,Pass
AAA,2013J,100269,M,East Anglian Region,HE Qualification,30-40%,35-55,0,120,N,Withdrawn
BBB,2014J,100484,M,East Anglian Region,Post Graduate Qualification,60-70%,0-35,2,120,N,Pass
AAA,2013J,100011,M,London Region,Post Graduate Qualification,0-10%,0-35,1,30,N,Fail
AAA,2013J,100171,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,30,N,Pass
CCC,2013J,100737,F,North Western Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
AAA,2013J,100250,M,South East Region,Post Graduate Qualification,60-70%,55<=,0,90,N,Withdrawn
AAA,2013J,100117,F,London Region,Post Graduate Qualification,80-90%,0-35,2,30,N,Pass
AAA,2014J,100570,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,1,30,N,Pass
AAA,2014J,100619,F,South East Region,Lower Than A Level,10-20%,0-35,0,60,N,Distinction
BBB,2014J,100268,F,London Region,HE Qualification,30-40%,35-55,0,90,N,Fail
BBB,2013J,100398,M,North Western Region,Lower Than A Level,70-80%,0-35,1,90,Y,Pass
CCC,2013J,100874,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,30,N,Fail
AAA,2014J,100855,M,London Region,Post Graduate Qualification,,0-35,0,30,N,Pass
BBB,2014J,100879,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,120,N,Pass
BBB,2014J,100203,F,North Western Region,Lower Than A Level,40-50%,0-35,0,90,N,Fail
BBB,2013J,100630,M,Scotland,HE Qualification,40-50%,55<=,1,120,Y,Pass
CCC,2013J,100840,F,South East Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail
AAA,2014J,100794,F,East Anglian Region,HE Qualification,50-60%,0-35,0,120,N,Pass
BBB,2014J,100558,M,North Western Region,Post Graduate Qualification,50-60%,55<=,0,90,N,Withdrawn
CCC,2014J,100131,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,120,N,Distinction
CCC,2014J,100697,M,North Western Region,HE Qualification,80-90%,0-35,0,60,N,Fail
BBB,2013J,100293,F,London Region,Post Graduate Qualification,80-90%,35-55,0,120,Y,Withdrawn
BBB,2014J,100252,M,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
CCC,2014J,100268,F,North Western Region,Post Graduate Qualification,,0-35,2,60,N,Pass
BBB,2014J,100402,M,Scotland,A Level or Equivalent,10-20%,35-55,1,90,N,Pass
CCC,2014J,100086,M,East Anglian Region,A Level or Equivalent,,35-55,1,60,N,Fail
AAA,2013J,100389,M,London Region,Post Graduate Qualification,80-90%,0-35,0,30,N,Withdrawn
BBB,2014J,100520,F,London Region,HE Qualification,20-30%,35-55,2,120,N,Withdrawn
AAA,2013J,100543,M,East Anglian Region,Post Graduate Qualification,70-80%,0-35,0,60,N,Fail
AAA,2014J,100894,F,London Region,Post Graduate Qualification,30-40%,0-35,1,120,N,Withdrawn
BBB,2013J,100870,F,Scotland,HE Qualification,80-90%,55<=,0,60,N,Fail
AAA,2014J,100303,F,Scotland,Lower Than A Level,10-20%,0-35,1,120,N,Fail
BBB,2014J,100746,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,90,Y,Withdrawn
BBB,2013J,100575,F,Scotland,Post Graduate Qualification,30-40%,35-55,0,120,N,Distinction
BBB,2013J,100149,M,Scotland,HE Qualification,20-30%,35-55,0,120,N,Distinction
CCC,2014J,100059,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,30,N,Pass
CCC,2013J,100524,M,London Region,A Level or Equivalent,60-70%,55<=,0,120,N,Fail
BBB,2014J,100871,F,Scotland,Post Graduate Qualification,60-70%,35-55,0,120,N,Pass
AAA,2014J,100012,M,East Anglian Region,Lower Than A Level,60-70%,35-55,2,90,N,Fail
CCC,2014J,100837,F,London Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
AAA,2013J,100334,F,East Anglian Region,Post Graduate Qualification,20-30%,0-35,0,120,N,Distinction
BBB,2013J,100600,M,South East Region,A Level or Equivalent,,0-35,0,90,N,Withdrawn
BBB,2014J,100067,F,London Region,Post Graduate Qualification,20-30%,0-35,0,60,N,Pass
AAA,2014J,100244,M,South East Region,HE Qualification,10-20%,0-35,0,120,N,Fail
BBB,2014J,100843,M,South East Region,Post Graduate Qualification,40-50%,35-55,0,30,N,Fail
AAA,2013J,100801,F,South East Region,HE Qualification,0-10%,35-55,2,90,N,Pass
AAA,2014J,100296,F,London Region,Post Graduate Qualification,30-40%,0-35,0,120,N,Withdrawn
BBB,2014J,100346,M,London Region,Post Graduate Qualification,90-100%,0-35,2,120,N,Pass
AAA,2014J,100872,F,North Western Region,Lower Than A Level,20-30%,35-55,0,60,N,Distinction
CCC,2013J,100729,F,East Anglian Region,Post Graduate Qualification,70-80%,0-35,1,30,N,Pass
AAA,2014J,100869,F,South East Region,HE Qualification,50-60%,55<=,0,60,N,Pass
CCC,2013J,100299,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,90,N,Fail
AAA,2014J,100694,M,Scotland,A Level or Equivalent,60-70%,0-35,2,30,Y,Fail
CCC,2014J,100610,F,Scotland,Lower Than A Level,30-40%,55<=,1,30,N,Pass
CCC,2013J,100379,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,1,60,N,Pass
CCC,2014J,100812,M,North Western Region,Post Graduate Qualification,,35-55,2,60,N,Pass
AAA,2014J,100719,F,East Anglian Region,A Level or Equivalent,10-20%,0-35,0,30,N,Pass
CCC,2014J,100694,F,South East Region,Lower Than A Level,,0-35,1,60,N,Fail
CCC,2013J,100082,F,London Region,A Level or Equivalent,50-60%,35-55,1,60,N,Pass
CCC,2014J,100193,M,North Western Region,Lower Than A Level,,0-35,1,30,N,Pass
AAA,2014J,100109,M,Scotland,Post Graduate Qualification,30-40%,0-35,1,30,N,Withdrawn
CCC,2013J,100351,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,90,N,Distinction
AAA,2014J,100590,F,East Anglian Region,Post Graduate Qualification,60-70%,35-55,0,120,N,Fail
BBB,2013J,100124,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail
BBB,2013J,100876,M,North Western Region,Lower Than A Level,20-30%,0-35,1,90,N,Fail
BBB,2014J,100194,F,Scotland,HE Qualification,50-60%,55<=,1,30,N,Pass
BBB,2013J,100466,F,Scotland,A Level or Equivalent,70-80%,35-55,1,120,N,Pass
AAA,2013J,100185,M,South East Region,Post Graduate Qualification,20-30%,35-55,1,120,Y,Distinction
BBB,2013J,100225,M,South East Region,HE Qualification,80-90%,35-55,0,60,Y,Pass
CCC,2014J,100135,F,London Region,Post Graduate Qualification,70-80%,35-55,0,60,N,Pass
BBB,2013J,100799,F,Scotland,A Level or Equivalent,10-20%,0-35,0,30,N,Pass
AAA,2014J,100826,F,Scotland,Lower Than A Level,,0-35,2,120,N,Distinction
CCC,2014J,100753,F,London Region,Lower Than A Level,0-10%,35-55,1,120,N,Pass
AAA,2014J,100802,M,London Region,A Level or Equivalent,70-80%,35-55,1,30,N,Fail
BBB,2014J,100054,F,East Anglian Region,A Level or Equivalent,40-50%,55<=,1,90,N,Withdrawn
BBB,2013J,100387,F,East Anglian Region,Post Graduate Qualification,70-80%,35-55,0,60,N,Pass
BBB,2013J,100174,M,London Region,A Level or Equivalent,80-90%,0-35,2,90,Y,Pass
CCC,2014J,100281,M,North Western Region,Post Graduate Qualification,70-80%,0-35,1,30,N,Pass
BBB,2014J,100081,F,East Anglian Region,Lower Than A Level,70-80%,35-55,2,120,N,Fail
CCC,2014J,100098,F,London Region,A Level or Equivalent,90-100%,0-35,1,60,N,Pass
AAA,2013J,100106,F,East Anglian Region,Post Graduate Qualification,70-80%,35-55,1,120,N,Pass
CCC,2013J,100519,M,Scotland,Lower Than A Level,80-90%,35-55,0,30,N,Fail
BBB,2014J,100447,M,North Western Region,A Level or Equivalent,40-50%,0-35,1,90,N,Fail
AAA,2014J,100363,F,Scotland,Post Graduate Qualification,20-30%,35-55,0,60,Y,Distinction
AAA,2013J,100658,F,Scotland,HE Qualification,20-30%,35-55,1,120,N,Pass
BBB,2014J,100308,F,East Anglian Region,HE Qualification,50-60%,0-35,1,90,N,Withdrawn
BBB,2013J,100714,M,East Anglian Region,Post Graduate Qualification,0-10%,35-55,0,30,N,Pass
AAA,2014J,100247,F,South East Region,Post Graduate Qualification,20-30%,0-35,0,90,N,Pass
BBB,2013J,100188,M,London Region,Post Graduate Qualification,,0-35,1,30,N,Fail
CCC,2013J,100150,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,60,N,Pass
AAA,2013J,100259,M,London Region,HE Qualification,80-90%,35-55,0,30,N,Pass
BBB,2014J,100512,F,London Region,Lower Than A Level,20-30%,55<=,1,30,N,Fail
BBB,2014J,100128,F,Scotland,Lower Than A Level,0-10%,0-35,1,90,N,Withdrawn
CCC,2014J,100454,F,London Region,A Level or Equivalent,30-40%,35-55,1,30,N,Pass
AAA,2014J,100726,F,North Western Region,HE Qualification,90-100%,0-35,0,90,N,Fail
BBB,2013J,100791,F,Scotland,A Level or Equivalent,50-60%,35-55,2,120,N,Distinction
CCC,2013J,100605,F,South East Region,Post Graduate Qualification,80-90%,0-35,0,30,N,Pass
AAA,2013J,100167,M,London Region,A Level or Equivalent,50-60%,35-55,1,90,N,Fail
CCC,2014J,100511,M,South East Region,HE Qualification,50-60%,0-35,2,60,N,Pass
CCC,2014J,100164,F,East Anglian Region,Post Graduate Qualification,60-70%,35-55,0,60,N,Withdrawn
CCC,2014J,100556,F,Scotland,Post Graduate Qualification,,0-35,1,90,N,Pass
BBB,2013J,100143,F,North Western Region,Lower Than A Level,40-50%,35-55,0,90,N,Withdrawn
CCC,2013J,100057,F,South East Region,HE Qualification,60-70%,35-55,2,90,Y,Pass
CCC,2013J,100754,F,Scotland,Lower Than A Level,,0-35,0,30,N,Pass
CCC,2013J,100388,F,South East Region,HE Qualification,40-50%,0-35,1,90,N,Pass
BBB,2013J,100263,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
BBB,2014J,100131,F,London Region,Post Graduate Qualification,50-60%,35-55,0,60,N,Withdrawn
BBB,2014J,100070,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,120,N,Fail
AAA,2013J,100123,F,London Region,Post Graduate Qualification,50-60%,0-35,2,30,N,Pass
CCC,2013J,100578,M,South East Region,Post Graduate Qualification,60-70%,0-35,0,60,N,Pass
CCC,2014J,100009,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
AAA,2013J,100810,F,Scotland,Lower Than A Level,30-40%,0-35,0,120,N,Pass
BBB,2014J,100410,M,South East Region,HE Qualification,60-70%,35-55,0,60,Y,Withdrawn
BBB,2014J,100368,F,London Region,Lower Than A Level,80-90%,35-55,1,90,N,Fail
CCC,2013J,100580,F,North Western Region,Post Graduate Qualification,40-50%,0-35,1,120,N,Fail
CCC,2014J,100117,M,North Western Region,HE Qualification,30-40%,0-35,1,90,N,Pass
CCC,2013J,100183,M,North Western Region,Post Graduate Qualification,80-90%,0-35,1,60,N,Fail
CCC,2013J,100704,F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Distinction
CCC,2014J,100661,F,North Western Region,Post Graduate Qualification,50-60%,0-35,2,120,N,Pass
BBB,2014J,100846,M,South East Region,HE Qualification,0-10%,0-35,0,90,N,Fail
BBB,2013J,100000,M,Scotland,HE Qualification,10-20%,0-35,1,30,N,Pass
BBB,2013J,100356,F,East Anglian Region,HE Qualification,90-100%,0-35,1,90,N,Pass
CCC,2013J,100675,M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
BBB,2013J,100175,M,North Western Region,HE Qualification,0-10%,0-35,0,30,N,Pass
BBB,2014J,100012,M,North Western Region,HE Qualification,0-10%,35-55,0,90,N,Pass
AAA,2014J,100308,M,Scotland,Post Graduate Qualification,80-90%,0-35,1,120,N,Distinction
CCC,2013J,100029,M,London Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction
BBB,2013J,100295,F,South East Region,HE Qualification,30-40%,35-55,0,60,N,Distinction
BBB,2013J,100065,F,East Anglian Region,HE Qualification,60-70%,0-35,0,30,N,Distinction
BBB,2013J,100250,M,East Anglian Region,Lower Than A Level,20-30%,35-55,1,90,N,Pass
AAA,2013J,100315,F,Scotland,Lower Than A Level,20-30%,0-35,2,120,N,Fail
BBB,2013J,100697,F,North Western Region,Lower Than A Level,40-50%,35-55,1,120,N,Pass
CCC,2014J,100439,M,Scotland,HE Qualification,90-100%,0-35,1,60,N,Pass
BBB,2013J,100404,F,South East Region,A Level or Equivalent,80-90%,0-35,0,30,Y,Pass
AAA,2013J,100536,F,South East Region,Post Graduate Qualification,20-30%,0-35,1,60,N,Pass
BBB,2014J,100305,F,London Region,HE Qualification,60-70%,35-55,0,120,N,Fail
AAA,2013J,100757,M,Scotland,Lower Than A Level,90-100%,0-35,0,30,Y,Fail
BBB,2013J,100643,M,East Anglian Region,Lower Than A Level,,35-55,0,30,N,Pass
BBB,2013J,100566,M,South East Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn
AAA,2013J,100475,M,South East Region,Post Graduate Qualification,10-20%,0-35,0,90,N,Withdrawn
CCC,2013J,100883,F,London Region,Lower Than A Level,20-30%,0-35,2,30,N,Pass
AAA,2014J,100088,F,London Region,Lower Than A Level,20-30%,55<=,1,30,N,Distinction
CCC,2013J,100454,F,North Western Region,Lower Than A Level,10-20%,35-55,0,60,Y,Distinction
CCC,2014J,100265,F,North Western Region,A Level or Equivalent,10-20%,0-35,0,90,N,Pass
AAA,2014J,100584,F,East Anglian Region,Post Graduate Qualification,30-40%,35-55,1,120,N,Withdrawn
BBB,2013J,100232,M,North Western Region,HE Qualification,60-70%,0-35,0,120,N,Fail
AAA,2013J,100652,M,South East Region,A Level or Equivalent,40-50%,0-35,2,60,N,Pass
AAA,2013J,100162,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
CCC,2013J,100011,M,London Region,A Level or Equivalent,20-30%,0-35,1,120,N,Pass
CCC,2014J,100355,F,London Region,HE Qualification,10-20%,0-35,2,120,N,Pass
AAA,2014J,100237,M,Scotland,A Level or Equivalent,,35-55,0,30,N,Pass
AAA,2013J,100081,M,North Western Region,HE Qualification,60-70%,0-35,0,90,N,Pass
AAA,2013J,100570,M,Scotland,Post Graduate Qualification,20-30%,35-55,1,90,N,Withdrawn
BBB,2013J,100184,F,Scotland,Lower Than A Level,80-90%,35-55,0,30,N,Pass
AAA,2014J,100503,F,Scotland,A Level or Equivalent,90-100%,35-55,0,120,N,Pass
AAA,2014J,100428,M,Scotland,Lower Than A Level,,35-55,0,60,N,Pass
BBB,2013J,100763,M,Scotland,HE Qualification,10-20%,35-55,0,90,N,Fail
AAA,2013J,100001,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Distinction
CCC,2013J,100367,F,North Western Region,A Level or Equivalent,,0-35,0,90,N,Distinction
CCC,2013J,100654,M,London Region,Lower Than A Level,80-90%,0-35,0,120,N,Fail
CCC,2013J,100054,F,South East Region,Lower Than A Level,20-30%,55<=,2,60,N,Withdrawn
AAA,2013J,100164,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,1,60,N,Withdrawn
CCC,2013J,100536,F,North Western Region,HE Qualification,40-50%,35-55,1,120,N,Distinction
CCC,2013J,100739,M,East Anglian Region,Lower Than A Level,50-60%,35-55,1,120,N,Pass
AAA,2013J,100404,M,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
CCC,2014J,100067,M,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn
BBB,2014J,100830,F,London Region,HE Qualification,10-20%,0-35,0,90,N,Pass
CCC,2013J,100378,M,North Western Region,A Level or Equivalent,50-60%,0-35,1,120,N,Pass
BBB,2013J,100533,M,South East Region,A Level or Equivalent,80-90%,35-55,1,120,N,Pass
CCC,2014J,100242,M,Scotland,Lower Than A Level,60-70%,0-35,2,30,N,Pass
AAA,2014J,100408,F,South East Region,HE Qualification,30-40%,0-35,2,90,N,Pass
BBB,2013J,100049,F,East Anglian Region,Post Graduate Qualification,0-10%,0-35,0,30,Y,Withdrawn
AAA,2014J,100155,M,Scotland,Post Graduate Qualification,60-70%,0-35,0,90,N,Pass
AAA,2013J,100426,F,Scotland,HE Qualification,70-80%,35-55,1,60,N,Distinction
AAA,2013J,100865,F,South East Region,HE Qualification,60-70%,35-55,0,60,N,Fail
BBB,2014J,100156,F,East Anglian Region,A Level or Equivalent,,0-35,1,120,N,Distinction
AAA,2014J,100697,F,Scotland,Lower Than A Level,60-70%,0-35,2,90,N,Pass
CCC,2014J,100506,M,London Region,A Level or Equivalent,50-60%,0-35,0,90,N,Withdrawn
BBB,2013J,100626,F,South East Region,HE Qualification,0-10%,35-55,2,120,N,Distinction
CCC,2014J,100827,F,London Region,HE Qualification,60-70%,35-55,2,30,N,Distinction
CCC,2013J,100446,F,South East Region,Post Graduate Qualification,10-20%,0-35,2,90,N,Withdrawn
AAA,2014J,100642,F,North Western Region,Post Graduate Qualification,70-80%,0-35,0,30,N,Pass
AAA,2013J,100375,F,North Western Region,Lower Than A Level,10-20%,55<=,0,30,N,Withdrawn
BBB,2013J,100583,M,North Western Region,Lower Than A Level,90-100%,35-55,0,30,N,Pass
BBB,2014J,100295,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,90,N,Pass
BBB,2013J,100245,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,Y,Pass
CCC,2013J,100068,F,East Anglian Region,Lower Than A Level,,35-55,0,120,N,Distinction
AAA,2014J,100665,M,East Anglian Region,HE Qualification,30-40%,0-35,2,60,N,Pass
CCC,2014J,100489,F,North Western Region,HE Qualification,50-60%,0-35,2,30,N,Pass
AAA,2013J,100384,F,North Western Region,Post Graduate Qualification,,55<=,2,30,N,Fail
BBB,2014J,100801,F,Scotland,Post Graduate Qualification,60-70%,35-55,0,30,N,Withdrawn
BBB,2014J,100057,M,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn
CCC,2013J,100202,M,North Western Region,Lower Than A Level,30-40%,35-55,1,60,N,Fail
AAA,2014J,100724,F,South East Region,HE Qualification,40-50%,35-55,0,120,N,Pass
AAA,2014J,100818,F,South East Region,HE Qualification,30-40%,35-55,2,30,N,Pass
BBB,2014J,100244,M,South East Region,Post Graduate Qualification,20-30%,55<=,0,60,N,Pass
BBB,2014J,100673,M,East Anglian Region,HE Qualification,50-60%,35-55,2,120,N,Withdrawn
AAA,2013J,100708,M,North Western Region,HE Qualification,40-50%,0-35,0,30,N,Distinction
AAA,2014J,100798,F,Scotland,A Level or Equivalent,30-40%,0-35,1,60,N,Pass
AAA,2014J,100165,F,London Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass
BBB,2014J,100310,M,North Western Region,Post Graduate Qualification,30-40%,55<=,2,90,N,Pass
BBB,2014J,100645,M,North Western Region,Post Graduate Qualification,20-30%,0-35,1,120,N,Fail
BBB,2013J,100071,M,London Region,Lower Than A Level,40-50%,0-35,0,30,N,Fail
CCC,2013J,100338,F,South East Region,HE Qualification,,35-55,0,60,N,Fail
AAA,2013J,100718,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
CCC,2014J,100309,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,N,Distinction
CCC,2014J,100028,M,East Anglian Region,Post Graduate Qualification,,35-55,0,120,N,Pass
AAA,2014J,100362,F,South East Region,Post Graduate Qualification,60-70%,35-55,2,30,N,Withdrawn
AAA,2013J,100636,M,London Region,Lower Than A Level,20-30%,35-55,2,60,N,Distinction
AAA,2014J,100182,M,London Region,A Level or Equivalent,40-50%,35-55,1,120,N,Pass
