code_module,code_presentation,id_student,date_registration,date_unregistration
AAA,2014J,100294,-61.0,
AAA,2013J,100893,-59.0,
BBB,2014J,100620,-19.0,
BBB,2014J,100889,-26.0,
CCC,2014J,100051,-10.0,
CCC,2013J,100270,-70.0,
CCC,2014J,100026,-67.0,41.0
AAA,2013J,100781,-14.0,
BBB,2013J,100157,-61.0,
AAA,2013J,100421,-56.0,
BBB,2014J,100750,-20.0,
CCC,2013J,100412,-9.0,
BBB,2014J,100321,-33.0,
CCC,2013J,100126,-19.0,
AAA,2013J,100454,-19.0,
BBB,2013J,100269,-34.0,201.0
BBB,2014J,100703,-52.0,
CCC,2013J,100537,-19.0,
CCC,2013J,100657,-18.0,
BBB,2014J,100761,-12.0,
AAA,2013J,100119,-24.0,
BBB,2013J,100894,-53.0,
AAA,2013J,100313,-16.0,
BBB,2013J,100703,-30.0,
BBB,2014J,100565,-36.0,
AAA,2014J,100744,-44.0,
AAA,2014J,100170,-12.0,
AAA,2013J,100512,-58.0,45.0
CCC,2013J,100233,-50.0,
CCC,2013J,100495,-37.0,
CCC,2014J,100433,2.0,
AAA,2013J,100457,-9.0,
BBB,2014J,100423,-63.0,
CCC,2013J,100178,-3.0,
BBB,2014J,100132,-3.0,133.0
AAA,2013J,100223,-53.0,
AAA,2014J,100009,-80.0,
AAA,2014J,100080,-31.0,130.0
CCC,2014J,100507,-8.0,
AAA,2013J,100197,2.0,
CCC,2013J,100088,-47.0,
CCC,2013J,100038,-75.0,
AAA,2014J,100320,-38.0,
CCC,2014J,100711,-7.0,
AAA,2014J,100849,-4.0,
AAA,2014J,100361,-11.0,
AAA,2013J,100517,-57.0,
AAA,2013J,100101,-20.0,
AAA,2013J,100527,-63.0,
AAA,2014J,100450,-71.0,54.0
BBB,2013J,100122,-9.0,89.0
AAA,2013J,100381,-34.0,16.0
AAA,2014J,100501,-56.0,
CCC,2014J,100882,-34.0,111.0
AAA,2014J,100224,-32.0,157.0
AAA,2013J,100071,-61.0,
AAA,2014J,100027,8.0,
CCC,2014J,100097,-37.0,
BBB,2014J,100826,-23.0,
AAA,2014J,100397,-53.0,74.0
CCC,2014J,100351,-24.0,125.0
AAA,2013J,100338,-57.0,
BBB,2014J,100183,-31.0,
BBB,2014J,100791,-53.0,
CCC,2014J,100833,-52.0,
AAA,2014J,100406,3.0,
BBB,2014J,100341,-29.0,
BBB,2013J,100673,-26.0,219.0
BBB,2013J,100781,-70.0,
CCC,2013J,100890,-42.0,57.0
CCC,2014J,100786,-21.0,
BBB,2014J,100405,-26.0,
BBB,2013J,100751,-73.0,
CCC,2013J,100661,-26.0,
BBB,2014J,100090,-23.0,
BBB,2014J,100506,-43.0,
AAA,2013J,100450,-75.0,
AAA,2013J,100850,-50.0,
BBB,2013J,100818,-52.0,
CCC,2014J,100841,-84.0,
AAA,2013J,100023,-39.0,31.0
BBB,2014J,100301,-1.0,126.0
AAA,2014J,100675,-30.0,
CCC,2013J,100845,-12.0,50.0
AAA,2013J,100895,-63.0,197.0
CCC,2013J,100345,-1.0,
CCC,2013J,100222,-28.0,
AAA,2014J,100735,-28.0,
CCC,2014J,100104,-52.0,
CCC,2014J,100588,-28.0,
BBB,2013J,100039,-53.0,
CCC,2013J,100541,-6.0,70.0
CCC,2013J,100472,10.0,
AAA,2013J,100542,-20.0,
CCC,2013J,100085,-43.0,
CCC,2014J,100884,-81.0,
AAA,2013J,100471,-64.0,154.0
AAA,2014J,100305,1.0,
CCC,2014J,100035,-51.0,
AAA,2014J,100379,-37.0,47.0
BBB,2013J,100420,-17.0,
CCC,2013J,100324,-38.0,77.0
AAA,2014J,100409,-29.0,
AAA,2013J,100749,-43.0,
AAA,2014J,100041,-26.0,43.0
AAA,2013J,100186,10.0,
BBB,2014J,100493,-21.0,
BBB,2013J,100448,-7.0,
AAA,2014J,100262,-51.0,
BBB,2014J,100803,-19.0,
BBB,2014J,100834,-44.0,129.0
BBB,2014J,100172,-22.0,
AAA,2013J,100797,-16.0,
BBB,2014J,100880,-29.0,
CCC,2013J,100680,10.0,11.0
AAA,2013J,100683,-1.0,
AAA,2013J,100190,-6.0,23.0
CCC,2013J,100280,-15.0,117.0
BBB,2014J,100088,5.0,
BBB,2013J,100826,-3.0,
CCC,2013J,100895,-50.0,
BBB,2014J,100429,-41.0,
AAA,2014J,100497,-19.0,
CCC,2014J,100294,-5.0,
BBB,2013J,100430,-53.0,
AAA,2013J,100634,-40.0,
BBB,2014J,100042,-28.0,
BBB,2014J,100168,-34.0,79.0
AAA,2014J,100806,-13.0,
CCC,2013J,100403,-49.0,
CCC,2013J,100691,-21.0,
AAA,2013J,100323,-21.0,
CCC,2014J,100485,-39.0,
CCC,2013J,100525,10.0,
BBB,2013J,100337,-45.0,
BBB,2013J,100087,-32.0,
CCC,2013J,100880,-12.0,
CCC,2013J,100401,-4.0,
BBB,2014J,100648,-21.0,
BBB,2014J,100725,-9.0,
BBB,2013J,100434,-43.0,
AAA,2014J,100075,-12.0,98.0
CCC,2014J,100715,0.0,175.0
CCC,2013J,100221,-63.0,
CCC,2014J,100579,-48.0,
BBB,2013J,100227,-14.0,
BBB,2013J,100323,-20.0,
BBB,2014J,100542,-9.0,
BBB,2013J,100317,-42.0,
CCC,2013J,100337,-39.0,
CCC,2013J,100642,-51.0,195.0
AAA,2013J,100674,-40.0,
AAA,2014J,100580,-40.0,
BBB,2013J,100081,-44.0,
BBB,2013J,100610,-45.0,
CCC,2013J,100240,-35.0,
BBB,2013J,100723,-36.0,
BBB,2013J,100738,7.0,
CCC,2014J,100039,-38.0,
BBB,2013J,100809,-23.0,
BBB,2013J,100488,-42.0,
BBB,2014J,100600,-42.0,
BBB,2014J,100327,-64.0,
