id_student,code_module,code_presentation,at_risk,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,date_registration,withdrawn_before_cutoff,sum_click_total,n_active_days,n_early_assessments,mean_early_score,min_early_score
100871,BBB,2014J,0,F,Scotland,Post Graduate Qualification,60-70%,35-55,N,0,120,-62.0,0,12.0,2.0,0.0,,
100012,AAA,2014J,1,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,2,90,-24.0,0,0.0,0.0,1.0,66.0,66.0
100837,CCC,2014J,0,F,London Region,Lower Than A Level,20-30%,0-35,N,0,120,-47.0,0,9.0,3.0,2.0,75.69999999999999,63.8
100334,AAA,2013J,0,F,East Anglian Region,Post Graduate Qualification,20-30%,0-35,N,0,120,-59.0,0,37.0,7.0,1.0,77.9,77.9
100600,BBB,2013J,1,M,South East Region,A Level or Equivalent,,0-35,N,0,90,-25.0,0,0.0,0.0,0.0,,
100067,BBB,2014J,0,F,London Region,Post Graduate Qualification,20-30%,0-35,N,0,60,-37.0,0,11.0,2.0,2.0,60.95,58.0
100244,AAA,2014J,1,M,South East Region,HE Qualification,10-20%,0-35,N,0,120,-13.0,0,0.0,0.0,1.0,20.8,20.8
100843,BBB,2014J,1,M,South East Region,Post Graduate Qualification,40-50%,35-55,N,0,30,-55.0,0,16.0,4.0,1.0,83.3,83.3
100801,AAA,2013J,0,F,South East Region,HE Qualification,0-10%,35-55,N,2,90,-45.0,0,28.0,5.0,0.0,,
100296,AAA,2014J,1,F,London Region,Post Graduate Qualification,30-40%,0-35,N,0,120,-78.0,0,6.0,2.0,0.0,,
100346,BBB,2014J,0,M,London Region,Post Graduate Qualification,90-100%,0-35,N,2,120,-74.0,0,45.0,4.0,2.0,94.1,93.1
100872,AAA,2014J,0,F,North Western Region,Lower Than A Level,20-30%,35-55,N,0,60,6.0,0,2.0,2.0,1.0,44.0,44.0
100729,CCC,2013J,0,F,East Anglian Region,Post Graduate Qualification,70-80%,0-35,N,1,30,10.0,0,4.0,1.0,1.0,63.0,63.0
100869,AAA,2014J,0,F,South East Region,HE Qualification,50-60%,55<=,N,0,60,-28.0,0,19.0,4.0,1.0,55.0,55.0
100299,CCC,2013J,1,M,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,90,-36.0,0,0.0,0.0,1.0,52.3,52.3
100694,AAA,2014J,1,M,Scotland,A Level or Equivalent,60-70%,0-35,Y,2,30,-13.0,0,35.0,5.0,1.0,65.3,65.3
100610,CCC,2014J,0,F,Scotland,Lower Than A Level,30-40%,55<=,N,1,30,-40.0,0,11.0,2.0,2.0,89.9,85.6
100379,CCC,2013J,0,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,1,60,-25.0,0,11.0,1.0,2.0,82.55,80.8
100812,CCC,2014J,0,M,North Western Region,Post Graduate Qualification,,35-55,N,2,60,-30.0,0,1.0,1.0,1.0,38.2,38.2
100719,AAA,2014J,0,F,East Anglian Region,A Level or Equivalent,10-20%,0-35,N,0,30,-41.0,0,31.0,3.0,2.0,73.25,61.0
100694,CCC,2014J,1,F,South East Region,Lower Than A Level,,0-35,N,1,60,-41.0,0,5.0,1.0,1.0,51.8,51.8
100082,CCC,2013J,0,F,London Region,A Level or Equivalent,50-60%,35-55,N,1,60,-24.0,0,14.0,2.0,2.0,83.45,66.9
100193,CCC,2014J,0,M,North Western Region,Lower Than A Level,,0-35,N,1,30,-50.0,0,2.0,1.0,0.0,,
100109,AAA,2014J,1,M,Scotland,Post Graduate Qualification,30-40%,0-35,N,1,30,-21.0,0,17.0,3.0,2.0,90.3,85.0
100351,CCC,2013J,0,M,East Anglian Region,Lower Than A Level,60-70%,0-35,N,0,90,-39.0,0,48.0,3.0,2.0,92.95,85.9
100590,AAA,2014J,1,F,East Anglian Region,Post Graduate Qualification,60-70%,35-55,N,0,120,-27.0,0,7.0,2.0,2.0,66.1,61.9
100124,BBB,2013J,1,F,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,120,-2.0,0,0.0,0.0,0.0,,
100876,BBB,2013J,1,M,North Western Region,Lower Than A Level,20-30%,0-35,N,1,90,-33.0,0,0.0,0.0,1.0,48.6,48.6
100194,BBB,2014J,0,F,Scotland,HE Qualification,50-60%,55<=,N,1,30,-12.0,0,15.0,2.0,2.0,85.75,79.6
100466,BBB,2013J,0,F,Scotland,A Level or Equivalent,70-80%,35-55,N,1,120,-66.0,0,14.0,3.0,1.0,61.8,61.8
100185,AAA,2013J,0,M,South East Region,Post Graduate Qualification,20-30%,35-55,Y,1,120,-39.0,0,10.0,2.0,2.0,66.2,60.7
100225,BBB,2013J,0,M,South East Region,HE Qualification,80-90%,35-55,Y,0,60,-29.0,0,16.0,3.0,2.0,85.35,83.5
100135,CCC,2014J,0,F,London Region,Post Graduate Qualification,70-80%,35-55,N,0,60,8.0,0,37.0,5.0,2.0,75.19999999999999,66.1
100799,BBB,2013J,0,F,Scotland,A Level or Equivalent,10-20%,0-35,N,0,30,-69.0,0,20.0,3.0,2.0,87.3,74.6
100826,AAA,2014J,0,F,Scotland,Lower Than A Level,,0-35,N,2,120,-32.0,0,30.0,6.0,2.0,73.19999999999999,72.1
100753,CCC,2014J,0,F,London Region,Lower Than A Level,0-10%,35-55,N,1,120,-1.0,0,35.0,5.0,2.0,84.4,79.6
100802,AAA,2014J,1,M,London Region,A Level or Equivalent,70-80%,35-55,N,1,30,-46.0,0,14.0,2.0,2.0,62.4,54.0
100054,BBB,2014J,1,F,East Anglian Region,A Level or Equivalent,40-50%,55<=,N,1,90,-34.0,0,5.0,1.0,2.0,57.25,51.7
100387,BBB,2013J,0,F,East Anglian Region,Post Graduate Qualification,70-80%,35-55,N,0,60,-23.0,0,2.0,1.0,0.0,,
100174,BBB,2013J,0,M,London Region,A Level or Equivalent,80-90%,0-35,Y,2,90,-26.0,0,2.0,1.0,0.0,,
100281,CCC,2014J,0,M,North Western Region,Post Graduate Qualification,70-80%,0-35,N,1,30,1.0,0,43.0,5.0,2.0,91.0,90.5
100081,BBB,2014J,1,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,2,120,-21.0,0,3.0,1.0,2.0,62.400000000000006,55.4
100098,CCC,2014J,0,F,London Region,A Level or Equivalent,90-100%,0-35,N,1,60,-3.0,0,31.0,5.0,2.0,69.75,58.2
100106,AAA,2013J,0,F,East Anglian Region,Post Graduate Qualification,70-80%,35-55,N,1,120,-37.0,0,0.0,0.0,2.0,55.900000000000006,48.2
100519,CCC,2013J,1,M,Scotland,Lower Than A Level,80-90%,35-55,N,0,30,-45.0,0,1.0,1.0,2.0,48.55,40.6
100447,BBB,2014J,1,M,North Western Region,A Level or Equivalent,40-50%,0-35,N,1,90,-35.0,0,3.0,1.0,1.0,60.3,60.3
100363,AAA,2014J,0,F,Scotland,Post Graduate Qualification,20-30%,35-55,Y,0,60,-53.0,0,43.0,6.0,2.0,81.55,71.1
100658,AAA,2013J,0,F,Scotland,HE Qualification,20-30%,35-55,N,1,120,-20.0,0,21.0,3.0,1.0,84.3,84.3
100308,BBB,2014J,1,F,East Anglian Region,HE Qualification,50-60%,0-35,N,1,90,-43.0,1,12.0,4.0,0.0,,
100714,BBB,2013J,0,M,East Anglian Region,Post Graduate Qualification,0-10%,35-55,N,0,30,-20.0,0,67.0,6.0,2.0,86.94999999999999,76.1
100247,AAA,2014J,0,F,South East Region,Post Graduate Qualification,20-30%,0-35,N,0,90,-53.0,0,9.0,2.0,1.0,72.3,72.3
100188,BBB,2013J,1,M,London Region,Post Graduate Qualification,,0-35,N,1,30,-15.0,0,0.0,0.0,0.0,,
100150,CCC,2013J,0,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,1,60,-40.0,0,18.0,3.0,2.0,83.3,70.1
100259,AAA,2013J,0,M,London Region,HE Qualification,80-90%,35-55,N,0,30,-7.0,0,14.0,3.0,1.0,68.5,68.5
100512,BBB,2014J,1,F,London Region,Lower Than A Level,20-30%,55<=,N,1,30,-38.0,0,12.0,3.0,2.0,63.75,52.7
100128,BBB,2014J,1,F,Scotland,Lower Than A Level,0-10%,0-35,N,1,90,-17.0,0,3.0,1.0,2.0,70.30000000000001,61.2
100454,CCC,2014J,0,F,London Region,A Level or Equivalent,30-40%,35-55,N,1,30,-26.0,0,13.0,2.0,2.0,76.75,72.9
100726,AAA,2014J,1,F,North Western Region,HE Qualification,90-100%,0-35,N,0,90,-15.0,0,12.0,3.0,0.0,,
100791,BBB,2013J,0,F,Scotland,A Level or Equivalent,50-60%,35-55,N,2,120,-28.0,0,31.0,4.0,2.0,89.25,86.3
100605,CCC,2013J,0,F,South East Region,Post Graduate Qualification,80-90%,0-35,N,0,30,-63.0,0,6.0,2.0,2.0,61.55,40.8
100167,AAA,2013J,1,M,London Region,A Level or Equivalent,50-60%,35-55,N,1,90,-10.0,0,21.0,5.0,1.0,76.2,76.2
100511,CCC,2014J,0,M,South East Region,HE Qualification,50-60%,0-35,N,2,60,-32.0,0,0.0,0.0,1.0,65.1,65.1
100164,CCC,2014J,1,F,East Anglian Region,Post Graduate Qualification,60-70%,35-55,N,0,60,-14.0,0,2.0,1.0,1.0,36.4,36.4
100556,CCC,2014J,0,F,Scotland,Post Graduate Qualification,,0-35,N,1,90,-16.0,0,30.0,3.0,1.0,71.8,71.8
100143,BBB,2013J,1,F,North Western Region,Lower Than A Level,40-50%,35-55,N,0,90,-45.0,0,3.0,2.0,0.0,,
100057,CCC,2013J,0,F,South East Region,HE Qualification,60-70%,35-55,Y,2,90,-48.0,0,0.0,0.0,0.0,,
100754,CCC,2013J,0,F,Scotland,Lower Than A Level,,0-35,N,0,30,-17.0,0,40.0,6.0,2.0,74.4,68.2
100388,CCC,2013J,0,F,South East Region,HE Qualification,40-50%,0-35,N,1,90,-36.0,0,5.0,1.0,2.0,75.35,75.2
100263,BBB,2013J,0,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,0,60,-11.0,0,22.0,3.0,2.0,75.69999999999999,68.3
100131,BBB,2014J,1,F,London Region,Post Graduate Qualification,50-60%,35-55,N,0,60,-34.0,0,18.0,3.0,2.0,62.650000000000006,61.7
100070,BBB,2014J,1,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,0,120,-10.0,0,3.0,2.0,2.0,57.75,49.3
100123,AAA,2013J,0,F,London Region,Post Graduate Qualification,50-60%,0-35,N,2,30,-22.0,0,8.0,1.0,1.0,75.4,75.4
100578,CCC,2013J,0,M,South East Region,Post Graduate Qualification,60-70%,0-35,N,0,60,-24.0,0,2.0,2.0,0.0,,
100009,CCC,2014J,1,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,0,60,-37.0,0,0.0,0.0,1.0,45.4,45.4
